"no","name","side","runTime","Coin_received","Wechat_received","Manual_payment","Detergent","Softener","LB","status","date","startTime","endTime","machine"
65,"SP-W1","NA","0:0:1",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:37:08","12/03/2019 00:37:09","467b712f6f3dd1baad34f7b11b75f7d1"
43,"SP-V1","NA",0,24,0,0,20,22,20,"SUCCESS","12/03/2019","12/03/2019 00:38:26","NA","e15ceae8fa62a160cebe0a1644e6116c"
80,"SP-D17-18","upper","0:0:19",5,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:41:08","12/03/2019 00:41:27","ae7d7950ed68a29b627719c0723f0ca0"
81,"SP-D17-18","lower","0:0:19",3,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:41:08","12/03/2019 00:41:27","ae7d7950ed68a29b627719c0723f0ca0"
66,"SP-W1","NA","0:0:1",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:43:03","12/03/2019 00:43:04","467b712f6f3dd1baad34f7b11b75f7d1"
67,"SP-W1","NA","0:0:1",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:47:44","12/03/2019 00:47:45","467b712f6f3dd1baad34f7b11b75f7d1"
45,"SP-V1","NA",0,14,0,0,10,11,10,"SUCCESS","12/03/2019","12/03/2019 00:45:21","NA","e15ceae8fa62a160cebe0a1644e6116c"
82,"SP-D17-18","upper","0:0:21",5,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:48:39","12/03/2019 00:49:00","ae7d7950ed68a29b627719c0723f0ca0"
83,"SP-D17-18","lower","0:0:20",3,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:48:40","12/03/2019 00:49:00","ae7d7950ed68a29b627719c0723f0ca0"
84,"SP-D17-18","upper","0:0:18",6,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:52:17","12/03/2019 00:52:35","ae7d7950ed68a29b627719c0723f0ca0"
85,"SP-D17-18","lower","0:0:18",2,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:52:17","12/03/2019 00:52:35","ae7d7950ed68a29b627719c0723f0ca0"
