"no","name","side","runTime","Coin_received","Wechat_received","Manual_payment","Detergent","Softener","LB","status","date","startTime","endTime","machine"
1,"PJCC-D17","NA","0:39:46",8,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 09:45:18","02/01/2019 10:25:04","40c2a7e3bcdcb1c73c03d845cebe497a"
1,"PJCC-W4","NA","0:24:17",5,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 10:06:19","02/01/2019 10:30:36","583f39fc2ca046563574510e34b345ef"
1,"PJCC-W3","NA","0:24:18",5,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 10:06:34","02/01/2019 10:30:52","7ce10970545f2bd2bb77388f95c4fa65"
2,"PJCC-D23","NA","0:24:46",5,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 10:06:37","02/01/2019 10:31:23","e1c98e44e2af2b1d3cc1c36c45e08000"
1,"PJCC-D29-30","upper","0:35:48",12,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 10:34:46","02/01/2019 11:10:34","271d6088283749c5d65c5428c0c967a9"
3,"PJCC-D23","NA","0:34:46",7,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 11:15:05","02/01/2019 11:49:51","e1c98e44e2af2b1d3cc1c36c45e08000"
2,"PJCC-W25","NA","0:25:36",0,10,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 13:19:20","02/01/2019 13:44:56","e92b1ad5c195c747a7d2a0845204d8f7"
2,"PJCC-W3","NA","0:24:15",4,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 14:06:30","02/01/2019 14:30:45","7ce10970545f2bd2bb77388f95c4fa65"
3,"PJCC-W3","NA","0:24:14",4,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 14:59:25","02/01/2019 15:23:39","7ce10970545f2bd2bb77388f95c4fa65"
2,"PJCC-D29-30","upper","0:29:46",10,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 15:08:15","02/01/2019 15:38:01","271d6088283749c5d65c5428c0c967a9"
3,"PJCC-W25","NA","0:25:38",10,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 15:48:05","02/01/2019 16:13:43","e92b1ad5c195c747a7d2a0845204d8f7"
1,"PJCC-W26","NA","0:25:37",10,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 15:57:13","02/01/2019 16:22:50","e531eb81634fd5bd542643139fab6d34"
4,"PJCC-D23","NA","0:24:46",5,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 16:36:17","02/01/2019 17:01:03","e1c98e44e2af2b1d3cc1c36c45e08000"
5,"PJCC-D23","NA","0:24:46",5,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 17:16:47","02/01/2019 17:41:33","e1c98e44e2af2b1d3cc1c36c45e08000"
4,"PJCC-W3","NA","0:24:16",4,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 17:19:57","02/01/2019 17:44:13","7ce10970545f2bd2bb77388f95c4fa65"
4,"PJCC-W25","NA","0:25:36",0,0,10,0,0,0,"SUCCESS","02/01/2019","02/01/2019 17:45:32","02/01/2019 18:11:08","e92b1ad5c195c747a7d2a0845204d8f7"
2,"PJCC-W4","NA","0:24:14",0,0,4,0,0,0,"SUCCESS","02/01/2019","02/01/2019 17:57:31","02/01/2019 18:21:45","583f39fc2ca046563574510e34b345ef"
1,"PJCC-W24","NA","0:25:46",0,0,6,0,0,0,"SUCCESS","02/01/2019","02/01/2019 17:57:46","02/01/2019 18:23:32","85520fd664e3dbcb2bef677543dcaf23"
2,"PJCC-W22","NA","0:25:48",0,0,6,0,0,0,"SUCCESS","02/01/2019","02/01/2019 17:57:56","02/01/2019 18:23:44","301b33a5742e1a5fc36a572f0126c245"
2,"PJCC-W26","NA","0:25:36",0,0,10,0,0,0,"SUCCESS","02/01/2019","02/01/2019 17:58:19","02/01/2019 18:23:55","e531eb81634fd5bd542643139fab6d34"
6,"PJCC-D23","NA","0:39:45",8,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 18:04:28","02/01/2019 18:44:13","e1c98e44e2af2b1d3cc1c36c45e08000"
5,"PJCC-W25","NA","0:25:34",10,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 18:27:42","02/01/2019 18:53:16","e92b1ad5c195c747a7d2a0845204d8f7"
3,"PJCC-W4","NA","0:24:15",5,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 18:45:22","02/01/2019 19:09:37","583f39fc2ca046563574510e34b345ef"
7,"PJCC-D23","NA","0:29:47",6,0,0,0,0,0,"SUCCESS","02/01/2019","02/01/2019 19:02:30","02/01/2019 19:32:17","e1c98e44e2af2b1d3cc1c36c45e08000"
5,"PJCC-W3","NA","0:24:16",4,0,5,0,0,0,"SUCCESS","02/01/2019","02/01/2019 20:35:10","02/01/2019 20:59:26","7ce10970545f2bd2bb77388f95c4fa65"
